,Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths
195,08/12/2020,02/01/2020,08/08/2020,Connecticut,Male,1-4 years,0
196,08/12/2020,02/01/2020,08/08/2020,Connecticut,Male,5-14 years,0
197,08/12/2020,02/01/2020,08/08/2020,Connecticut,Male,15-24 years,1048.084359
198,08/12/2020,02/01/2020,08/08/2020,Connecticut,Male,25-34 years,1048.084359
199,08/12/2020,02/01/2020,08/08/2020,Connecticut,Male,35-44 years,19
200,08/12/2020,02/01/2020,08/08/2020,Connecticut,Male,45-54 years,71
201,08/12/2020,02/01/2020,08/08/2020,Connecticut,Male,55-64 years,224
202,08/12/2020,02/01/2020,08/08/2020,Connecticut,Male,65-74 years,447
203,08/12/2020,02/01/2020,08/08/2020,Connecticut,Male,75-84 years,557
204,08/12/2020,02/01/2020,08/08/2020,Connecticut,Male,85 years and over,701
205,08/12/2020,02/01/2020,08/08/2020,Connecticut,Male,All ages,2029
206,08/12/2020,02/01/2020,08/08/2020,Connecticut,Female,Under 1 year,0
207,08/12/2020,02/01/2020,08/08/2020,Connecticut,Female,1-4 years,0
208,08/12/2020,02/01/2020,08/08/2020,Connecticut,Female,5-14 years,0
209,08/12/2020,02/01/2020,08/08/2020,Connecticut,Female,15-24 years,1048.084359
210,08/12/2020,02/01/2020,08/08/2020,Connecticut,Female,25-34 years,1048.084359
211,08/12/2020,02/01/2020,08/08/2020,Connecticut,Female,35-44 years,1048.084359
212,08/12/2020,02/01/2020,08/08/2020,Connecticut,Female,45-54 years,26
213,08/12/2020,02/01/2020,08/08/2020,Connecticut,Female,55-64 years,121
214,08/12/2020,02/01/2020,08/08/2020,Connecticut,Female,65-74 years,280
215,08/12/2020,02/01/2020,08/08/2020,Connecticut,Female,75-84 years,555
216,08/12/2020,02/01/2020,08/08/2020,Connecticut,Female,85 years and over,1203
217,08/12/2020,02/01/2020,08/08/2020,Connecticut,Female,All ages,2199
218,08/12/2020,02/01/2020,08/08/2020,Connecticut,Unknown,All ages,0
219,08/12/2020,02/01/2020,08/08/2020,Connecticut Total,All,All ages,4228
220,08/12/2020,02/01/2020,08/08/2020,Delaware,Male,Under 1 year,0
221,08/12/2020,02/01/2020,08/08/2020,Delaware,Male,1-4 years,0
222,08/12/2020,02/01/2020,08/08/2020,Delaware,Male,5-14 years,0
223,08/12/2020,02/01/2020,08/08/2020,Delaware,Male,15-24 years,1048.084359
224,08/12/2020,02/01/2020,08/08/2020,Delaware,Male,25-34 years,1048.084359
225,08/12/2020,02/01/2020,08/08/2020,Delaware,Male,35-44 years,1048.084359
226,08/12/2020,02/01/2020,08/08/2020,Delaware,Male,45-54 years,10
227,08/12/2020,02/01/2020,08/08/2020,Delaware,Male,55-64 years,30
