,State,Sex,Age group,COVID-19 Deaths,Age
191,District of Columbia,Female,25-34 years,,30
192,District of Columbia,Female,35-44 years,,40
193,District of Columbia,Female,45-54 years,21.0,50
194,District of Columbia,Female,55-64 years,47.0,60
195,District of Columbia,Female,65-74 years,65.0,70
196,District of Columbia,Female,75-84 years,60.0,80
197,District of Columbia,Female,85 years and over,84.0,90
198,Florida,Male,Under 1 year,0.0,0.5
199,Florida,Male,1-4 years,0.0,2.5
200,Florida,Male,5-14 years,,10
201,Florida,Male,15-24 years,,20
202,Florida,Male,25-34 years,27.0,30
203,Florida,Male,35-44 years,103.0,40
204,Florida,Male,45-54 years,210.0,50
205,Florida,Male,55-64 years,476.0,60
206,Florida,Male,65-74 years,883.0,70
207,Florida,Male,75-84 years,1135.0,80
208,Florida,Male,85 years and over,996.0,90
209,Florida,Female,Under 1 year,0.0,0.5
210,Florida,Female,1-4 years,0.0,2.5
211,Florida,Female,5-14 years,,10
212,Florida,Female,15-24 years,,20
213,Florida,Female,25-34 years,18.0,30
214,Florida,Female,35-44 years,50.0,40
215,Florida,Female,45-54 years,97.0,50
216,Florida,Female,55-64 years,250.0,60
217,Florida,Female,65-74 years,567.0,70
218,Florida,Female,75-84 years,877.0,80
219,Florida,Female,85 years and over,1286.0,90
220,Georgia,Male,Under 1 year,,0.5
221,Georgia,Male,1-4 years,0.0,2.5
222,Georgia,Male,5-14 years,0.0,10
223,Georgia,Male,15-24 years,,20
224,Georgia,Male,25-34 years,25.0,30
225,Georgia,Male,35-44 years,35.0,40
226,Georgia,Male,45-54 years,125.0,50
227,Georgia,Male,55-64 years,275.0,60
228,Georgia,Male,65-74 years,464.0,70
229,Georgia,Male,75-84 years,487.0,80
230,Georgia,Male,85 years and over,317.0,90
231,Georgia,Female,Under 1 year,0.0,0.5
232,Georgia,Female,1-4 years,0.0,2.5
233,Georgia,Female,5-14 years,0.0,10
234,Georgia,Female,15-24 years,,20
235,Georgia,Female,25-34 years,13.0,30
236,Georgia,Female,35-44 years,33.0,40
237,Georgia,Female,45-54 years,72.0,50
238,Georgia,Female,55-64 years,177.0,60
239,Georgia,Female,65-74 years,313.0,70
240,Georgia,Female,75-84 years,419.0,80
241,Georgia,Female,85 years and over,522.0,90
242,Hawaii,Male,Under 1 year,0.0,0.5
243,Hawaii,Male,1-4 years,0.0,2.5
244,Hawaii,Male,5-14 years,0.0,10
245,Hawaii,Male,15-24 years,0.0,20
246,Hawaii,Male,25-34 years,0.0,30
247,Hawaii,Male,35-44 years,0.0,40
248,Hawaii,Male,45-54 years,,50
249,Hawaii,Male,55-64 years,,60
250,Hawaii,Male,65-74 years,,70
251,Hawaii,Male,75-84 years,,80
252,Hawaii,Male,85 years and over,,90
253,Hawaii,Female,Under 1 year,0.0,0.5
254,Hawaii,Female,1-4 years,0.0,2.5
255,Hawaii,Female,5-14 years,0.0,10
256,Hawaii,Female,15-24 years,0.0,20
257,Hawaii,Female,25-34 years,,30
258,Hawaii,Female,35-44 years,0.0,40
259,Hawaii,Female,45-54 years,,50
260,Hawaii,Female,55-64 years,0.0,60
261,Hawaii,Female,65-74 years,0.0,70
262,Hawaii,Female,75-84 years,,80
263,Hawaii,Female,85 years and over,,90
264,Idaho,Male,Under 1 year,0.0,0.5
265,Idaho,Male,1-4 years,0.0,2.5
266,Idaho,Male,5-14 years,0.0,10
267,Idaho,Male,15-24 years,0.0,20
268,Idaho,Male,25-34 years,0.0,30
269,Idaho,Male,35-44 years,,40
270,Idaho,Male,45-54 years,,50
271,Idaho,Male,55-64 years,,60
272,Idaho,Male,65-74 years,17.0,70
273,Idaho,Male,75-84 years,43.0,80
274,Idaho,Male,85 years and over,36.0,90
275,Idaho,Female,Under 1 year,0.0,0.5
276,Idaho,Female,1-4 years,0.0,2.5
277,Idaho,Female,5-14 years,0.0,10
278,Idaho,Female,15-24 years,0.0,20
279,Idaho,Female,25-34 years,0.0,30
280,Idaho,Female,35-44 years,,40
281,Idaho,Female,45-54 years,,50
282,Idaho,Female,55-64 years,,60
283,Idaho,Female,65-74 years,17.0,70
284,Idaho,Female,75-84 years,26.0,80
285,Idaho,Female,85 years and over,48.0,90
286,Illinois,Male,Under 1 year,,0.5
287,Illinois,Male,1-4 years,0.0,2.5
288,Illinois,Male,5-14 years,,10
289,Illinois,Male,15-24 years,,20
290,Illinois,Male,25-34 years,42.0,30
291,Illinois,Male,35-44 years,122.0,40
292,Illinois,Male,45-54 years,293.0,50
293,Illinois,Male,55-64 years,590.0,60
294,Illinois,Male,65-74 years,968.0,70
295,Illinois,Male,75-84 years,990.0,80
296,Illinois,Male,85 years and over,807.0,90
297,Illinois,Female,Under 1 year,,0.5
298,Illinois,Female,1-4 years,0.0,2.5
299,Illinois,Female,5-14 years,0.0,10
300,Illinois,Female,15-24 years,,20
301,Illinois,Female,25-34 years,19.0,30
302,Illinois,Female,35-44 years,45.0,40
303,Illinois,Female,45-54 years,115.0,50
304,Illinois,Female,55-64 years,306.0,60
305,Illinois,Female,65-74 years,543.0,70
306,Illinois,Female,75-84 years,762.0,80
307,Illinois,Female,85 years and over,1353.0,90
