,index,Confirmed,Deaths,clusters
541,541,804,10,1
542,542,207,10,1
543,543,383,18,1
544,544,327,31,1
545,545,1468,62,1
546,546,1735,56,1
547,547,1284,44,1
548,548,319,9,1
549,549,250,8,1
550,550,2776,95,1
551,551,294,22,1
552,552,186,7,1
553,553,2263,6,1
554,554,701,18,1
555,555,764,61,1
556,556,1496,31,1
557,557,1758,53,1
558,558,1475,56,1
559,559,140,5,1
560,560,657,8,1
561,561,1100,28,1
562,562,43,2,1
563,563,326,11,1
564,564,761,19,1
565,565,4491,61,1
566,566,247,20,1
567,567,261,5,1
568,568,333,18,1
569,569,523,30,1
570,570,103,3,1
571,571,2235,37,1
572,572,672,15,1
573,573,10546,97,1
574,574,0,0,1
575,575,57,0,1
576,576,386,9,1
577,577,28,1,1
578,578,0,0,1
579,579,12520,147,1
580,580,28,1,1
581,581,942,4,1
582,582,39,1,1
583,583,139,3,1
584,584,841,10,1
585,585,642,6,1
586,586,67,1,1
587,587,309,0,1
588,588,2558,16,1
589,589,56,1,1
590,590,27,0,1
591,591,24,0,1
592,592,8000,100,1
593,593,101,0,1
594,594,656,5,1
595,595,32,0,1
596,596,39,0,1
597,597,60,1,1
598,598,334,3,1
599,599,101,0,1
600,600,175,3,1
601,601,294,2,1
602,602,273,1,1
603,603,186,0,1
604,604,518,1,1
605,605,738,7,1
606,606,2542,35,1
607,607,345,0,1
608,608,83,0,1
609,609,14,0,1
610,610,88,0,1
611,611,571,1,1
612,612,648,8,1
613,613,420,24,1
614,614,23,0,1
615,615,0,0,1
616,616,324,5,1
617,617,853,7,1
618,618,218,1,1
619,619,215,18,1
620,620,151,0,1
621,621,2109,35,1
622,622,3,0,1
623,623,88,1,1
624,624,349,6,1
625,625,1032,10,1
626,626,73,1,1
627,627,296,4,1
628,628,1074,23,1
629,629,43,0,1
630,630,597,11,1
631,631,47,0,1
632,632,217,4,1
633,633,389,11,1
634,634,4472,20,1
635,635,460,11,1
636,636,154,2,1
637,637,142,0,1
638,638,1088,20,1
639,639,1396,30,1
640,640,140623,5180,2
641,641,400,2,1
642,642,201,4,1
643,643,104,1,1
644,644,1484,38,1
645,645,285,7,1
646,646,16955,551,0
647,647,111,7,1
648,648,64,0,1
649,649,836,1,1
650,650,373,3,1
651,651,99,5,1
652,652,505,3,1
653,653,153,0,1
654,654,69,2,1
655,655,216,7,1
656,656,645,5,1
657,657,67,0,1
658,658,199,3,1
659,659,37,0,1
660,660,64,0,1
661,661,636,5,1
