,State,Confirmed
956,Kansas,37
957,Kansas,254
958,Kansas,122
959,Kansas,7
960,Kansas,47
961,Kansas,43
962,Kansas,120
963,Kansas,346
964,Kansas,103
965,Kansas,22
966,Kansas,237
967,Kansas,185
968,Kansas,16
969,Kansas,10411
970,Kansas,82
971,Kansas,78
972,Kansas,24
973,Kansas,233
974,Kansas,13
975,Kansas,1965
976,Kansas,12
977,Kansas,70
978,Kansas,7
979,Kansas,1097
980,Kansas,72
981,Kansas,20
982,Kansas,277
983,Kansas,108
984,Kansas,357
985,Kansas,45
986,Kansas,386
987,Kansas,29
988,Kansas,15
989,Kansas,92
990,Kansas,166
991,Kansas,70
992,Kansas,30
993,Kansas,96
994,Kansas,5
995,Kansas,52
996,Kansas,0
997,Kansas,414
998,Kansas,111
999,Kansas,230
1000,Kansas,69
1001,Kansas,8
1002,Kansas,1018
1003,Kansas,48
1004,Kansas,73
1005,Kansas,1734
1006,Kansas,61
1007,Kansas,42
1008,Kansas,83
1009,Kansas,697
1010,Kansas,107
1011,Kansas,8173
1012,Kansas,1661
1013,Kansas,2644
1014,Kansas,13
1015,Kansas,30
1016,Kansas,6
1017,Kansas,56
1018,Kansas,48
1019,Kansas,128
1020,Kansas,183
1021,Kansas,126
1022,Kansas,53
1023,Kansas,0
1024,Kansas,67
1025,Kansas,17
1026,Kansas,17
1027,Kansas,6
1028,Kansas,59
1029,Kansas,15
1030,Kansas,6757
1031,Kentucky,307
1032,Kentucky,315
1033,Kentucky,150
1034,Kentucky,54
1035,Kentucky,711
1036,Kentucky,87
1037,Kentucky,482
1038,Kentucky,1540
1039,Kentucky,178
1040,Kentucky,412
1041,Kentucky,266
1042,Kentucky,40
1043,Kentucky,84
1044,Kentucky,126
1045,Kentucky,844
1046,Kentucky,337
1047,Kentucky,147
1048,Kentucky,552
1049,Kentucky,851
1050,Kentucky,77
1051,Kentucky,196
1052,Kentucky,165
1053,Kentucky,269
1054,Kentucky,1195
1055,Kentucky,305
1056,Kentucky,305
1057,Kentucky,111
1058,Kentucky,121
1059,Kentucky,100
1060,Kentucky,1320
1061,Kentucky,131
1062,Kentucky,38
1063,Kentucky,142
1064,Kentucky,5729
1065,Kentucky,82
1066,Kentucky,176
1067,Kentucky,606
1068,Kentucky,142
1069,Kentucky,98
1070,Kentucky,152
1071,Kentucky,158
1072,Kentucky,727
1073,Kentucky,382
1074,Kentucky,259
1075,Kentucky,378
1076,Kentucky,79
1077,Kentucky,1254
1078,Kentucky,367
1079,Kentucky,171
1080,Kentucky,169
1081,Kentucky,686
1082,Kentucky,187
1083,Kentucky,75
