,State_x,Confirmed,Deaths
648,Illinois,64,0
649,Illinois,836,1
650,Illinois,373,3
651,Illinois,99,5
652,Illinois,505,3
653,Illinois,153,0
654,Illinois,69,2
655,Illinois,216,7
656,Illinois,645,5
657,Illinois,67,0
658,Illinois,199,3
659,Illinois,37,0
660,Illinois,64,0
661,Illinois,636,5
662,Illinois,359,19
663,Illinois,1248,24
664,Illinois,202,9
665,Illinois,572,38
666,Illinois,385,14
667,Illinois,246,2
668,Illinois,148,0
669,Illinois,12790,325
670,Illinois,2676,77
671,Illinois,1947,25
672,Illinois,627,3
673,Illinois,1640,56
674,Illinois,16545,486
675,Illinois,251,2
676,Illinois,347,1
677,Illinois,348,6
678,Illinois,440,1
679,Illinois,1436,42
680,Illinois,515,7
681,Illinois,5463,131
682,Illinois,518,0
683,Illinois,98,0
684,Illinois,129,1
685,Illinois,97,2
686,Illinois,459,15
687,Illinois,4463,118
688,Illinois,3200,20
689,Illinois,120,0
690,Illinois,129,5
691,Illinois,639,15
692,Illinois,339,13
693,Illinois,628,23
694,Illinois,208,3
695,Illinois,651,6
696,Illinois,2,0
697,Illinois,3314,49
698,Illinois,342,15
699,Illinois,132,0
700,Illinois,113,1
701,Illinois,26,1
702,Illinois,161,1
703,Illinois,55,0
704,Illinois,926,11
705,Illinois,171,4
706,Illinois,2869,74
707,Illinois,299,3
708,Illinois,2290,44
709,Illinois,46,0
710,Illinois,75,0
711,Illinois,360,4
712,Illinois,6386,187
713,Illinois,53,2
714,Illinois,484,6
715,Illinois,1657,21
716,Illinois,2238,236
717,Illinois,507,24
718,Illinois,648,4
719,Illinois,147,1
720,Illinois,314,2
721,Illinois,198,1
722,Illinois,256,5
723,Illinois,161,0
724,Illinois,702,20
725,Illinois,13612,374
726,Illinois,1351,39
727,Illinois,5531,149
728,Illinois,408,6
729,Indiana,252,3
730,Indiana,6060,200
731,Indiana,1153,57
732,Indiana,88,0
733,Indiana,113,3
734,Indiana,956,46
735,Indiana,103,3
736,Indiana,271,13
737,Indiana,1933,9
738,Indiana,2157,56
739,Indiana,298,5
740,Indiana,595,13
741,Indiana,103,0
742,Indiana,654,28
743,Indiana,463,11
744,Indiana,639,28
745,Indiana,457,39
746,Indiana,1895,61
747,Indiana,959,18
748,Indiana,6438,109
749,Indiana,418,13
750,Indiana,1321,61
751,Indiana,120,2
752,Indiana,303,25
753,Indiana,235,2
754,Indiana,489,4
755,Indiana,897,33
756,Indiana,419,35
757,Indiana,4761,109
758,Indiana,914,43
759,Indiana,564,24
760,Indiana,2681,122
761,Indiana,781,25
762,Indiana,1290,63
763,Indiana,222,3
764,Indiana,742,9
765,Indiana,386,2
766,Indiana,175,0
767,Indiana,244,3
768,Indiana,312,12
769,Indiana,2279,123
770,Indiana,503,9
771,Indiana,1206,17
772,Indiana,632,11
773,Indiana,1382,39
774,Indiana,10334,319
775,Indiana,506,28
776,Indiana,1610,75
777,Indiana,20936,761
778,Indiana,994,24
779,Indiana,164,0
780,Indiana,430,3
781,Indiana,2512,36
782,Indiana,505,21
783,Indiana,706,38
784,Indiana,172,11
785,Indiana,894,32
786,Indiana,77,7
787,Indiana,286,24
788,Indiana,0,0
789,Indiana,167,1
790,Indiana,96,1
791,Indiana,215,13
792,Indiana,141,1
793,Indiana,2090,46
794,Indiana,309,0
795,Indiana,115,1
796,Indiana,538,10
797,Indiana,209,7
798,Indiana,282,8
799,Indiana,153,4
800,Indiana,359,10
801,Indiana,666,29
802,Indiana,222,3
803,Indiana,6226,103
804,Indiana,253,7
805,Indiana,374,7
806,Indiana,331,12
807,Indiana,69,0
808,Indiana,2312,13
809,Indiana,220,22
810,Indiana,0,225
811,Indiana,77,0
812,Indiana,3494,30
813,Indiana,126,0
814,Indiana,1785,24
815,Indiana,262,8
816,Indiana,39,1
817,Indiana,1223,36
818,Indiana,261,1
819,Indiana,747,14
820,Indiana,250,3
821,Indiana,482,14
822,Indiana,255,6
823,Iowa,68,1
824,Iowa,33,0
825,Iowa,252,6
826,Iowa,129,3
827,Iowa,74,1
828,Iowa,302,1
829,Iowa,4421,88
830,Iowa,493,8
831,Iowa,475,7
832,Iowa,262,1
833,Iowa,1959,12
834,Iowa,265,2
835,Iowa,179,2
836,Iowa,650,5
837,Iowa,148,2
838,Iowa,233,1
839,Iowa,1017,21
840,Iowa,222,2
841,Iowa,240,0
842,Iowa,262,3
843,Iowa,309,4
844,Iowa,237,3
845,Iowa,1092,20
846,Iowa,1042,5
847,Iowa,2741,38
848,Iowa,122,4
849,Iowa,66,0
850,Iowa,365,3
851,Iowa,751,7
852,Iowa,503,6
853,Iowa,2985,41
854,Iowa,254,10
855,Iowa,205,2
856,Iowa,310,3
857,Iowa,346,18
858,Iowa,104,0
859,Iowa,99,0
860,Iowa,218,3
861,Iowa,240,6
862,Iowa,323,3
863,Iowa,177,2
864,Iowa,293,1
865,Iowa,196,2
866,Iowa,655,4
867,Iowa,185,6
868,Iowa,183,3
869,Iowa,110,0
870,Iowa,197,1
871,Iowa,317,3
872,Iowa,802,32
873,Iowa,135,1
874,Iowa,5073,27
875,Iowa,258,3
876,Iowa,101,1
877,Iowa,249,0
878,Iowa,613,7
879,Iowa,3878,109
880,Iowa,426,15
881,Iowa,153,6
882,Iowa,280,4
883,Iowa,209,2
884,Iowa,368,19
885,Iowa,746,5
886,Iowa,1768,34
887,Iowa,173,1
888,Iowa,186,0
889,Iowa,144,1
890,Iowa,153,10
891,Iowa,90,5
892,Iowa,1090,54
893,Iowa,334,9
894,Iowa,146,0
895,Iowa,0,0
896,Iowa,150,0
897,Iowa,172,0
898,Iowa,1091,20
899,Iowa,156,2
900,Iowa,15571,261
901,Iowa,2033,38
902,Iowa,270,8
903,Iowa,48,2
904,Iowa,232,0
905,Iowa,2875,28
906,Iowa,250,1
907,Iowa,1469,3
908,Iowa,3369,17
909,Iowa,699,31
910,Iowa,127,1
911,Iowa,4,0
912,Iowa,126,3
913,Iowa,112,1
914,Iowa,1296,57
915,Iowa,945,6
916,Iowa,449,11
917,Iowa,84,2
918,Iowa,1213,14
919,Iowa,284,13
920,Iowa,315,6
921,Iowa,5173,63
922,Iowa,104,0
923,Iowa,570,1
924,Kansas,33,0
925,Kansas,69,0
926,Kansas,307,2
927,Kansas,6,0
928,Kansas,447,5
929,Kansas,148,2
930,Kansas,113,3
931,Kansas,518,3
932,Kansas,81,1
933,Kansas,13,0
934,Kansas,474,7
935,Kansas,58,0
936,Kansas,48,1
937,Kansas,47,2
938,Kansas,64,0
939,Kansas,108,8
940,Kansas,11,0
941,Kansas,346,4
942,Kansas,978,6
943,Kansas,21,0
944,Kansas,161,1
945,Kansas,105,0
946,Kansas,2138,10
947,Kansas,47,0
948,Kansas,1,0
949,Kansas,926,3
950,Kansas,32,0
951,Kansas,2072,12
952,Kansas,2718,10
953,Kansas,328,3
954,Kansas,290,2
955,Kansas,33,0
