Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths
08/12/2020,02/01/2020,08/08/2020,District of Columbia,Male,Under 1 year,
08/12/2020,02/01/2020,08/08/2020,District of Columbia,Male,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,District of Columbia,Male,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,District of Columbia,Male,15-24 years,0
08/12/2020,02/01/2020,08/08/2020,District of Columbia,Male,25-34 years,
08/12/2020,02/01/2020,08/08/2020,District of Columbia,Male,35-44 years,18
08/12/2020,02/01/2020,08/08/2020,District of Columbia,Male,45-54 years,41
08/12/2020,02/01/2020,08/08/2020,District of Columbia,Male,55-64 years,77
08/12/2020,02/01/2020,08/08/2020,District of Columbia,Male,65-74 years,122
08/12/2020,02/01/2020,08/08/2020,District of Columbia,Male,75-84 years,83
08/12/2020,02/01/2020,08/08/2020,District of Columbia,Male,85 years and over,57
08/12/2020,02/01/2020,08/08/2020,District of Columbia,Male,All ages,403
08/12/2020,02/01/2020,08/08/2020,District of Columbia,Female,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,District of Columbia,Female,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,District of Columbia,Female,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,District of Columbia,Female,15-24 years,
08/12/2020,02/01/2020,08/08/2020,District of Columbia,Female,25-34 years,
08/12/2020,02/01/2020,08/08/2020,District of Columbia,Female,35-44 years,
08/12/2020,02/01/2020,08/08/2020,District of Columbia,Female,45-54 years,21
08/12/2020,02/01/2020,08/08/2020,District of Columbia,Female,55-64 years,47
08/12/2020,02/01/2020,08/08/2020,District of Columbia,Female,65-74 years,65
08/12/2020,02/01/2020,08/08/2020,District of Columbia,Female,75-84 years,60
08/12/2020,02/01/2020,08/08/2020,District of Columbia,Female,85 years and over,84
08/12/2020,02/01/2020,08/08/2020,District of Columbia,Female,All ages,284
08/12/2020,02/01/2020,08/08/2020,District of Columbia,Unknown,All ages,0
08/12/2020,02/01/2020,08/08/2020,District of Columbia Total,All,All ages,687
08/12/2020,02/01/2020,08/08/2020,Florida,Male,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Florida,Male,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Florida,Male,5-14 years,
08/12/2020,02/01/2020,08/08/2020,Florida,Male,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Florida,Male,25-34 years,27
08/12/2020,02/01/2020,08/08/2020,Florida,Male,35-44 years,103
08/12/2020,02/01/2020,08/08/2020,Florida,Male,45-54 years,210
08/12/2020,02/01/2020,08/08/2020,Florida,Male,55-64 years,476
08/12/2020,02/01/2020,08/08/2020,Florida,Male,65-74 years,883
08/12/2020,02/01/2020,08/08/2020,Florida,Male,75-84 years,1135
08/12/2020,02/01/2020,08/08/2020,Florida,Male,85 years and over,996
08/12/2020,02/01/2020,08/08/2020,Florida,Male,All ages,3839
08/12/2020,02/01/2020,08/08/2020,Florida,Female,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Florida,Female,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Florida,Female,5-14 years,
08/12/2020,02/01/2020,08/08/2020,Florida,Female,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Florida,Female,25-34 years,18
08/12/2020,02/01/2020,08/08/2020,Florida,Female,35-44 years,50
08/12/2020,02/01/2020,08/08/2020,Florida,Female,45-54 years,97
08/12/2020,02/01/2020,08/08/2020,Florida,Female,55-64 years,250
08/12/2020,02/01/2020,08/08/2020,Florida,Female,65-74 years,567
08/12/2020,02/01/2020,08/08/2020,Florida,Female,75-84 years,877
08/12/2020,02/01/2020,08/08/2020,Florida,Female,85 years and over,1286
08/12/2020,02/01/2020,08/08/2020,Florida,Female,All ages,3152
08/12/2020,02/01/2020,08/08/2020,Florida,Unknown,All ages,0
08/12/2020,02/01/2020,08/08/2020,Florida Total,All,All ages,6991
08/12/2020,02/01/2020,08/08/2020,Georgia,Male,Under 1 year,
08/12/2020,02/01/2020,08/08/2020,Georgia,Male,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Georgia,Male,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Georgia,Male,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Georgia,Male,25-34 years,25
08/12/2020,02/01/2020,08/08/2020,Georgia,Male,35-44 years,35
08/12/2020,02/01/2020,08/08/2020,Georgia,Male,45-54 years,125
08/12/2020,02/01/2020,08/08/2020,Georgia,Male,55-64 years,275
08/12/2020,02/01/2020,08/08/2020,Georgia,Male,65-74 years,464
08/12/2020,02/01/2020,08/08/2020,Georgia,Male,75-84 years,487
08/12/2020,02/01/2020,08/08/2020,Georgia,Male,85 years and over,317
08/12/2020,02/01/2020,08/08/2020,Georgia,Male,All ages,1733
08/12/2020,02/01/2020,08/08/2020,Georgia,Female,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Georgia,Female,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Georgia,Female,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Georgia,Female,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Georgia,Female,25-34 years,13
08/12/2020,02/01/2020,08/08/2020,Georgia,Female,35-44 years,33
08/12/2020,02/01/2020,08/08/2020,Georgia,Female,45-54 years,72
08/12/2020,02/01/2020,08/08/2020,Georgia,Female,55-64 years,177
08/12/2020,02/01/2020,08/08/2020,Georgia,Female,65-74 years,313
08/12/2020,02/01/2020,08/08/2020,Georgia,Female,75-84 years,419
08/12/2020,02/01/2020,08/08/2020,Georgia,Female,85 years and over,522
08/12/2020,02/01/2020,08/08/2020,Georgia,Female,All ages,1553
08/12/2020,02/01/2020,08/08/2020,Georgia,Unknown,All ages,0
08/12/2020,02/01/2020,08/08/2020,Georgia Total,All,All ages,3286
08/12/2020,02/01/2020,08/08/2020,Hawaii,Male,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Hawaii,Male,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Hawaii,Male,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Hawaii,Male,15-24 years,0
08/12/2020,02/01/2020,08/08/2020,Hawaii,Male,25-34 years,0
08/12/2020,02/01/2020,08/08/2020,Hawaii,Male,35-44 years,0
